"CD_DISCENTE","ANO_INGRESSO","SEMESTRE_INGRESSO","TIPO_INGRESSO","CAMPUS","COD_CURSO","CURSO","NATURALIDADE","UF_NATURALIDADE","PAIS_NATURALIDADE","BAIRRO_ENDERECO","CIDADE_ENDERECO","UF_ENDERECO","SEXO","ANO_NASCIMENTO","COTA","TIPO_COTA","ESCOLARIDADE_PAI","ESCOLARIDADE_MAE","DEFICIENCIA"
370797,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGRESTINA,PE,BRA,CENTRO,AGRESTINA,PE,F,2004,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
370110,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGRESTINA,PE,BRA,CENTRO,CUPIRA,PE,F,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
332212,2023,1,TRANSFERENCIA INTERNA,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ÁGUA PRETA,PE,BRA,JOSE CARLOS DE OLIVEIRA,CARUARU,PE,M,2000,S,L1,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
372221,2023,1,TRANSFERENCIA INTERNA,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ÁGUA PRETA,PE,BRA,JOSE CARLOS DE OLIVEIRA,CARUARU,PE,M,2000,S,L1,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
368422,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ALTINHO,PE,BRA,CENTRO,ALTINHO,PE,F,2003,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
371501,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ARARIPINA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
370174,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CENTRO,BELO JARDIM,PE,F,1995,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
368660,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,F,2002,N,A0,ENSINO SUPERIOR,ENSINO MEDIO,N
374478,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,F,2004,S,L1,ENSINO SUPERIOR,ENSINO MEDIO,N
370844,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,BOA VISTA,BELO JARDIM,PE,F,2004,S,L1,ENSINO MEDIO,ENSINO SUPERIOR,N
